4411,Automobile and other motor vehicle dealers,62306,63801,63027,60592,60492,61345,59995,60075,61360,61017,59479,58207
4413,Automotive parts acc. and tire stores,5373,5284,5406,5220,5289,5293,5210,5236,5490,5191,5166,5317
442,Furniture and home furnishings stores,7484,7548,7599,7729,7673,7593,7748,7682,7665,7737,7580,7160
443,Electronics and appliance stores,6912,6959,6926,7002,6898,6751,6717,6781,6894,6764,6688,6679
4441,Building mat. and supplies dealers,16789,16429,17268,16500,16510,16414,16502,16305,16253,16392,16018,16447
4451,Grocery stores,32239,32567,33117,33541,33221,33644,33479,33554,33729,33867,34071,34558
4453,Beer wine and liquor stores,2259,2290,2327,2297,2355,2384,2401,2417,2416,2450,2475,2344
44611,Pharmacies and drug stores,10350,10265,10544,10704,10766,10799,10947,11022,11132,11242,11286,11759
447,Gasoline stations,19358,20214,20819,19907,20242,20885,20905,20574,21327,21412,21906,22124
4481,Clothing stores,9267,9445,9750,9700,9858,9738,9594,9902,10119,10049,10173,9978
44811,Men's clothing stores,786,786,800,791,800,777,808,787,807,791,788,778
44812,Women's clothing stores,2323,2434,2654,2587,2669,2638,2647,2680,2729,2699,2673,2608
4482,Shoe stores,1881,1885,1911,1900,1899,1889,1868,1918,1940,1921,1928,1888
44831,Jewelery stores,1997,2044,1992,2039,2109,2081,2100,2097,2152,2103,2039,2071
451,Sporting goods hobby book and music stores,5972,6256,6383,6418,6494,6388,6488,6317,6397,6324,6213,6213
4521,Department stores (excl. L.D.),19204,19158,19227,19208,19397,19217,19132,19203,19362,19319,19529,19677
45291,Warehouse clubs and supercenters,10373,10764,11201,11039,11294,11525,11728,11909,12041,12266,12249,12395
45299,All other gen. merchandise stores,2602,2654,2677,2632,2648,2666,2726,2711,2743,2695,2680,2662
453,Miscellaneous stores retailers,9136,9163,9189,9056,8760,8785,8789,8666,8925,8870,8829,8631
4541,Electronic shopping and mail order houses,8743,8786,9133,9343,9026,9391,9502,9634,9856,9917,10069,10318
45431,Fuel dealers,1929,2191,1855,2017,2152,2222,2236,2279,2475,2356,2370,2789
722,Food services and drinking places,24608,24887,25367,25215,25193,25262,25454,25342,25711,25706,25698,25133
