4411,Automobile and other motor vehicle dealers,60970,61168,60635,61803,61922,61566,60916,61183,58857,75352,67325,63109
4413,Automotive parts acc. and tire stores,4956,5020,5036,5130,5117,5144,5151,5167,5072,5103,5088,5111
442,Furniture and home furnishings stores,7764,7611,7549,7560,7559,7613,7671,7628,7419,7543,7694,7869
443,Electronics and appliance stores,6674,6605,6562,6497,6467,6571,6631,6633,6506,6669,6951,7073
4441,Building mat. and supplies dealers,16421,16781,16946,17693,17358,17396,17313,17444,17050,17407,17425,17530
4451,Grocery stores,34229,34602,34477,34727,34781,34866,34792,35043,35152,35270,35414,35208
4453,Beer wine and liquor stores,2496,2457,2444,2444,2455,2474,2458,2454,2451,2468,2512,2510
44611,Pharmacies and drug stores,11391,11498,11571,11569,11713,11822,11883,11955,11906,12261,12149,12167
447,Gasoline stations,21931,21615,20652,21618,22628,21928,20686,20878,21336,20033,19245,18950
4481,Clothing stores,10014,10084,9760,10103,9928,9864,9925,10090,9488,10020,9915,10132
44811,Men's clothing stores,781,774,755,717,732,725,714,722,663,708,695,694
44812,Women's clothing stores,2644,2672,2616,2691,2596,2577,2611,2699,2515,2649,2623,2622
4482,Shoe stores,1905,1865,1834,1959,1935,1898,1963,1963,1843,1876,1928,1913
44831,Jewelery stores,2062,2057,2062,2016,1957,1898,1965,1980,1842,1949,2001,1950
451,Sporting goods hobby book and music stores,6170,6470,6446,6369,6391,6294,6388,6428,6318,6439,6626,6552
4521,Department stores (excl. L.D.),19904,19170,18542,19073,18991,18889,19121,19093,18864,18955,19135,19038
45291,Warehouse clubs and supercenters,12827,12638,12757,13350,13314,13405,13740,13974,14180,14476,14620,14997
45299,All other gen. merchandise stores,2870,2847,2770,2941,2897,2820,2859,2848,2778,2798,2901,3019
453,Miscellaneous stores retailers,8466,8665,8897,8527,8752,8693,8671,8691,8377,8456,8548,8432
4541,Electronic shopping and mail order houses,9447,9437,9614,9578,9558,9683,9675,9836,9093,9655,9683,9681
45431,Fuel dealers,2559,2355,2295,2282,2119,2128,2059,2128,2217,2056,1905,1767
722,Food services and drinking places,26180,26069,26122,26045,26278,26379,26507,26853,26239,26541,26597,27156
