4411,Automobile and other motor vehicle dealers,62485,62979,61460,63025,59858,62104,64660,66924,62794,62319,62718,64635
4413,Automotive parts acc. and tire stores,5180,5189,5110,5226,5204,5250,5284,5280,5272,5234,5213,5159
442,Furniture and home furnishings stores,7847,7932,7936,7874,7959,7831,7741,7837,7832,7789,7963,7927
443,Electronics and appliance stores,6929,6988,7040,7005,7049,7050,6969,6878,6952,6980,6915,6977
4441,Building mat. and supplies dealers,17743,17849,17836,18692,18252,18040,18010,18081,18149,18048,18307,17871
4451,Grocery stores,35130,35114,35160,34827,34941,34933,35044,34874,34865,34990,35157,35257
4453,Beer wine and liquor stores,2493,2532,2517,2503,2511,2511,2505,2481,2467,2438,2454,2526
44611,Pharmacies and drug stores,12397,12528,12551,12742,12723,12802,12811,12926,13087,13065,13232,13226
447,Gasoline stations,19130,19068,19813,20856,20930,20733,21438,21182,21272,21659,22009,22464
4481,Clothing stores,10103,10205,10226,10252,10071,10246,10187,10214,9934,10531,10360,10522
44811,Men's clothing stores,679,700,692,702,678,680,677,665,668,670,668,664
44812,Women's clothing stores,2628,2659,2647,2656,2584,2592,2551,2590,2524,2549,2578,2698
4482,Shoe stores,1961,1977,1939,1967,1939,1960,1919,1933,1882,1914,1914,1928
44831,Jewelery stores,2009,2038,2136,2048,2076,2026,1957,2056,2013,2048,2050,2128
451,Sporting goods hobby book and music stores,6519,6373,6368,6397,6403,6305,6282,6263,6435,6439,6606,6364
4521,Department stores (excl. L.D.),18935,18811,18905,19018,18530,18604,18297,18261,18041,18541,18010,17917
45291,Warehouse clubs and supercenters,14959,15310,15410,15623,15754,15928,16003,16069,16133,16353,16762,16863
45299,All other gen. merchandise stores,2917,2853,2829,2850,2830,2885,2832,2872,2885,2922,2926,2936
453,Miscellaneous stores retailers,8447,8616,8380,8579,8539,8639,8575,8740,8724,8579,8362,8569
4541,Electronic shopping and mail order houses,9902,9994,9898,10025,10086,10066,10224,10266,10241,10305,10528,10527
45431,Fuel dealers,1751,1732,1820,1960,2048,1997,2057,2024,2029,2136,2271,2318
722,Food services and drinking places,27201,27384,27203,27500,27378,27586,27616,27607,27784,27623,27916,28017
